gid,pid
cwig1,ocwnigep1
cwig1,ocwnigep2
cwig1,ocwnigep3
cwig1,ocwnigep4
cwig1,ocwnigep5
cwig2,tcwwigop1
cwig2,tcwwigop2
cwig2,tcwwigop3
cwig2,tcwwigop4
cwig2,tcwwigop5
cwig3,tcwhrigeep1
cwig3,tcwhrigeep2
cwig3,tcwhrigeep3
cwig3,tcwhrigeep4
cwig3,tcwhrigeep5
cwig4,fcwoigurp1
cwig4,fcwoigurp2
cwig4,fcwoigurp3
cwig4,fcwoigurp4
cwig4,fcwoigurp5
cwig5,fcwiigvep1
cwig5,fcwiigvep2
cwig5,fcwiigvep3
cwig5,fcwiigvep4
cwig5,fcwiigvep5
cwig6,scwiigxp1
cwig6,scwiigxp2
cwig6,scwiigxp3
cwig6,scwiigxp4
cwig6,scwiigxp5
cwig7,secwvigenp1
cwig7,secwvigenp2
cwig7,secwvigenp3
cwig7,secwvigenp4
cwig7,secwvigenp5
cwig8,eicwgihgtp1
cwig8,eicwgihgtp2
cwig8,eicwgihgtp3
cwig8,eicwgihgtp4
cwig8,eicwgihgtp5
cwig9,ncwiignep1
cwig9,ncwiignep2
cwig9,ncwiignep3
cwig9,ncwiignep4
cwig9,ncwiignep5
cwig10,tcweignp1
cwig10,tcweignp2
cwig10,tcweignp3
cwig10,tcweignp4
cwig10,tcweignp5
cwig11,elcwevigenp1
cwig11,elcwevigenp2
cwig11,elcwevigenp3
cwig11,elcwevigenp4
cwig11,elcwevigenp5
cwig12,twcweligvep1
cwig12,twcweligvep2
cwig12,twcweligvep3
cwig12,twcweligvep4
cwig12,twcweligvep5
cwig13,thcwirteigenp1
cwig13,thcwirteigenp2
cwig13,thcwirteigenp3
cwig13,thcwirteigenp4
cwig13,thcwirteigenp5
cwig14,focwurteigenp1
cwig14,focwurteigenp2
cwig14,focwurteigenp3
cwig14,focwurteigenp4
cwig14,focwurteigenp5
cwig15,ficwfteigenp1
cwig15,ficwfteigenp2
cwig15,ficwfteigenp3
cwig15,ficwfteigenp4
cwig15,ficwfteigenp5
cwig16,sicwxteigenp1
cwig16,sicwxteigenp2
cwig16,sicwxteigenp3
cwig16,sicwxteigenp4
cwig16,sicwxteigenp5
cwig17,sevcwenteigenp1
cwig17,sevcwenteigenp2
cwig17,sevcwenteigenp3
cwig17,sevcwenteigenp4
cwig17,sevcwenteigenp5
cwig18,eigcwhteigenp1
cwig18,eigcwhteigenp2
cwig18,eigcwhteigenp3
cwig18,eigcwhteigenp4
cwig18,eigcwhteigenp5
cwig19,nicwneteigenp1
cwig19,nicwneteigenp2
cwig19,nicwneteigenp3
cwig19,nicwneteigenp4
cwig19,nicwneteigenp5
cwig20,tcwwenigtyp1
cwig20,tcwwenigtyp2
cwig20,tcwwenigtyp3
cwig20,tcwwenigtyp4
cwig20,tcwwenigtyp5
cwigtemp,tempp1
cwigtemp,tempp2
cwigtemp,tempp3
cwigtemp,tempp4
cwigtemp,tempp5
cwig1,temp1
cwig2,temp2
cwig3,temp3
cwig4,temp4
cwig5,temp5
cwig6,temp6
cwig7,temp7
cwig8,temp8
cwig9,temp9
cwig10,temp10
cwig11,temp11
cwig12,temp12
cwig13,temp13
cwig14,temp14
cwig15,temp15
cwig16,temp16
cwig17,temp17
cwig18,temp18
cwig19,temp19
cwig20,temp20
cwig10,tcweignp6
cwig8,eicwgihgtp0
